Pathway	Related Pathway
hsa05171	hsa04650
hsa05171	hsa04666
hsa05171	hsa04668
hsa05171	hsa04670
hsa05164	hsa00900
hsa05164	hsa03013
hsa05164	hsa03015
hsa05164	hsa04010
hsa05164	hsa04110
hsa05164	hsa04144
hsa05164	hsa04210
hsa05164	hsa04620
hsa05164	hsa04621
hsa05164	hsa04622
hsa05164	hsa04630
hsa05164	hsa05416
hsa05162	hsa04110
hsa05162	hsa04115
hsa05162	hsa04120
hsa05162	hsa04210
hsa05162	hsa04620
hsa05162	hsa04622
hsa05162	hsa04630
hsa05162	hsa04658
hsa05162	hsa04660
hsa05168	hsa03040
hsa05168	hsa03050
hsa05168	hsa04115
hsa05168	hsa04151
hsa05168	hsa04210
hsa05168	hsa04610
hsa05168	hsa04612
hsa05168	hsa04620
hsa05168	hsa04622
hsa05168	hsa04630
hsa05163	hsa00590
hsa05163	hsa03050
hsa05163	hsa04010
hsa05163	hsa04064
hsa05163	hsa04110
hsa05163	hsa04150
hsa05163	hsa04151
hsa05163	hsa04210
hsa05163	hsa04612
hsa05163	hsa04623
hsa05163	hsa04630
hsa05163	hsa04668
hsa05163	hsa04810
hsa05167	hsa04010
hsa05167	hsa04064
hsa05167	hsa04110
hsa05167	hsa04115
hsa05167	hsa04140
hsa05167	hsa04144
hsa05167	hsa04151
hsa05167	hsa04210
hsa05167	hsa04310
hsa05167	hsa04610
hsa05167	hsa04620
hsa05167	hsa04630
hsa05167	hsa04650
hsa05167	hsa04668
hsa05169	hsa03050
hsa05169	hsa04010
hsa05169	hsa04020
hsa05169	hsa04064
hsa05169	hsa04110
hsa05169	hsa04115
hsa05169	hsa04210
hsa05169	hsa04612
hsa05169	hsa04620
hsa05169	hsa04622
hsa05169	hsa04630
hsa05169	hsa04662
hsa05165	hsa04064
hsa05165	hsa04110
hsa05165	hsa04115
hsa05165	hsa04150
hsa05165	hsa04151
hsa05165	hsa04210
hsa05165	hsa04310
hsa05165	hsa04330
hsa05165	hsa04510
hsa05165	hsa04520
hsa05165	hsa04530
hsa05165	hsa04612
hsa05165	hsa04620
hsa05165	hsa04630
hsa05110	hsa00190
hsa05110	hsa04530
hsa05120	hsa00190
hsa05120	hsa04010
hsa05120	hsa04210
hsa05120	hsa04530
hsa05130	hsa04064
hsa05130	hsa04210
hsa05130	hsa04530
hsa05130	hsa04620
hsa05130	hsa04621
hsa05130	hsa04666
hsa05130	hsa04810
hsa05132	hsa04010
hsa05132	hsa04064
hsa05132	hsa04210
hsa05132	hsa04217
hsa05132	hsa04621
hsa05131	hsa04010
hsa05131	hsa04064
hsa05131	hsa04140
hsa05131	hsa04210
hsa05131	hsa04510
hsa05131	hsa04621
hsa05131	hsa04623
hsa05131	hsa04810
hsa05135	hsa04510
hsa05135	hsa04620
hsa05135	hsa04621
hsa05135	hsa04660
hsa05135	hsa04666
hsa05135	hsa04810
hsa05133	hsa04010
hsa05133	hsa04210
hsa05133	hsa04610
hsa05133	hsa04620
hsa05134	hsa04210
hsa05134	hsa04610
hsa05134	hsa04620
hsa05150	hsa04610
hsa05150	hsa04660
hsa05150	hsa04662
hsa05152	hsa04010
hsa05152	hsa04210
hsa05152	hsa04612
hsa05152	hsa04620
hsa05152	hsa04621
hsa05152	hsa04630
hsa05100	hsa04110
hsa05100	hsa04144
hsa05100	hsa04510
hsa05100	hsa04512
hsa05100	hsa04810
hsa05146	hsa00330
hsa05146	hsa00590
hsa05146	hsa04144
hsa05146	hsa04210
hsa05146	hsa04510
hsa05146	hsa04610
hsa05146	hsa04612
hsa05146	hsa04620
hsa05146	hsa04672
hsa05146	hsa04810
hsa05144	hsa04210
hsa05144	hsa04514
hsa05144	hsa04610
hsa05144	hsa04620
hsa05145	hsa00590
hsa05145	hsa04010
hsa05145	hsa04144
hsa05145	hsa04210
hsa05145	hsa04620
hsa05145	hsa04630
hsa05140	hsa00590
hsa05140	hsa04010
hsa05140	hsa04020
hsa05140	hsa04120
hsa05140	hsa04145
hsa05140	hsa04610
hsa05140	hsa04620
hsa05140	hsa04630
hsa05140	hsa04666
hsa05142	hsa00330
hsa05142	hsa04020
hsa05142	hsa04070
hsa05142	hsa04210
hsa05142	hsa04350
hsa05142	hsa04610
hsa05142	hsa04620
hsa05142	hsa04670
hsa05143	hsa00380
hsa05143	hsa04210
hsa05143	hsa04610
hsa05143	hsa04620
hsa05143	hsa04710
hsa05310	hsa04060
hsa05310	hsa04514
hsa05310	hsa04612
hsa05310	hsa04630
hsa05310	hsa04660
hsa05310	hsa04662
hsa05310	hsa04664
hsa05322	hsa04060
hsa05322	hsa04514
hsa05322	hsa04610
hsa05322	hsa04612
hsa05322	hsa04630
hsa05322	hsa04660
hsa05322	hsa04662
hsa05322	hsa04670
hsa05323	hsa04370
hsa05323	hsa04380
hsa05323	hsa04620
hsa05323	hsa04659
hsa05323	hsa04660
hsa05323	hsa04670
hsa05320	hsa04210
hsa05320	hsa04514
hsa05320	hsa04610
hsa05320	hsa04612
hsa05320	hsa04660
hsa05320	hsa04662
hsa05320	hsa04918
hsa05321	hsa04060
hsa05321	hsa04612
hsa05321	hsa04620
hsa05321	hsa04621
hsa05321	hsa04630
hsa05321	hsa04659
hsa05321	hsa04660
hsa05330	hsa04210
hsa05330	hsa04514
hsa05330	hsa04610
hsa05330	hsa04612
hsa05330	hsa04660
hsa05330	hsa04662
hsa05332	hsa04060
hsa05332	hsa04210
hsa05332	hsa04514
hsa05332	hsa04612
hsa05332	hsa04620
hsa05332	hsa04650
hsa05332	hsa04660
hsa05340	hsa04640
hsa05340	hsa04660
hsa05340	hsa04662
hsa05010	hsa00190
hsa05010	hsa03050
hsa05010	hsa04020
hsa05010	hsa04140
hsa05010	hsa04210
hsa05010	hsa04910
hsa05010	hsa04933
hsa05012	hsa00190
hsa05012	hsa00350
hsa05012	hsa03050
hsa05012	hsa04020
hsa05012	hsa04120
hsa05012	hsa04137
hsa05012	hsa04210
hsa05014	hsa00190
hsa05014	hsa03013
hsa05014	hsa03050
hsa05014	hsa04010
hsa05014	hsa04012
hsa05014	hsa04020
hsa05014	hsa04115
hsa05014	hsa04137
hsa05014	hsa04140
hsa05014	hsa04141
hsa05014	hsa04210
hsa05014	hsa04724
hsa05014	hsa04810
hsa05016	hsa00190
hsa05016	hsa03020
hsa05016	hsa03022
hsa05016	hsa03050
hsa05016	hsa04020
hsa05016	hsa04115
hsa05016	hsa04140
hsa05016	hsa04141
hsa05016	hsa04144
hsa05016	hsa04210
hsa05016	hsa04724
hsa05017	hsa03050
hsa05017	hsa04020
hsa05017	hsa04140
hsa05017	hsa04141
hsa05017	hsa04210
hsa05017	hsa04724
hsa05017	hsa04730
hsa05020	hsa00190
hsa05020	hsa03050
hsa05020	hsa04020
hsa05020	hsa04140
hsa05020	hsa04142
hsa05020	hsa04144
hsa05020	hsa04210
hsa05020	hsa04330
hsa05020	hsa04610
hsa05020	hsa04668
hsa05022	hsa00190
hsa05022	hsa03050
hsa05022	hsa04020
hsa05022	hsa04120
hsa05022	hsa04137
hsa05022	hsa04140
hsa05022	hsa04141
hsa05022	hsa04142
hsa05022	hsa04210
hsa05022	hsa04310
hsa05022	hsa04724
hsa05022	hsa04933
hsa05030	hsa04728
hsa05031	hsa04728
hsa05032	hsa04727
hsa05032	hsa04728
hsa05033	hsa04724
hsa05033	hsa04727
hsa05033	hsa04728
hsa05034	hsa04010
hsa05034	hsa04728
hsa05417	hsa04020
hsa05417	hsa04115
hsa05417	hsa04141
hsa05417	hsa04151
hsa05417	hsa04210
hsa05417	hsa04620
hsa05417	hsa04621
hsa05417	hsa04668
hsa05417	hsa04670
hsa05417	hsa04975
hsa05417	hsa04979
hsa05417	hsa05418
hsa05418	hsa04010
hsa05418	hsa04064
hsa05418	hsa04151
hsa05418	hsa04210
hsa05418	hsa04270
hsa05418	hsa04510
hsa05418	hsa04514
hsa05418	hsa04670
hsa05410	hsa04260
hsa05410	hsa04350
hsa05410	hsa04512
hsa05410	hsa04614
hsa05410	hsa04630
hsa05412	hsa04260
hsa05412	hsa04310
hsa05412	hsa04512
hsa05412	hsa04540
hsa05414	hsa04260
hsa05414	hsa04350
hsa05414	hsa04512
hsa05414	hsa04614
hsa05414	hsa05416
hsa05415	hsa00010
hsa05415	hsa00020
hsa05415	hsa00190
hsa05415	hsa00520
hsa05415	hsa03320
hsa05415	hsa04071
hsa05415	hsa04150
hsa05415	hsa04210
hsa05415	hsa04260
hsa05415	hsa04350
hsa05415	hsa04614
hsa05415	hsa04910
hsa05415	hsa04930
hsa05415	hsa04931
hsa05415	hsa04933
hsa05415	hsa04940
hsa05416	hsa03050
hsa05416	hsa04110
hsa05416	hsa04210
hsa05416	hsa04260
hsa05416	hsa04512
hsa05416	hsa04612
hsa05416	hsa04660
hsa04930	hsa04210
hsa04930	hsa04910
hsa04930	hsa04920
hsa04930	hsa04950
hsa04940	hsa04210
hsa04940	hsa04660
hsa04950	hsa04910
hsa04936	hsa00061
hsa04936	hsa00071
hsa04936	hsa01040
hsa04936	hsa03040
hsa04936	hsa04010
hsa04936	hsa04064
hsa04936	hsa04152
hsa04936	hsa04210
hsa04936	hsa04310
hsa04936	hsa04610
hsa04936	hsa04620
hsa04936	hsa04657
hsa04936	hsa04668
hsa04936	hsa04920
hsa04936	hsa05034
hsa04932	hsa00061
hsa04932	hsa00190
hsa04932	hsa03320
hsa04932	hsa04141
hsa04932	hsa04151
hsa04932	hsa04210
hsa04932	hsa04668
hsa04932	hsa04920
hsa04932	hsa04930
hsa04931	hsa00010
hsa04931	hsa00061
hsa04931	hsa00514
hsa04931	hsa00520
hsa04931	hsa04150
hsa04931	hsa04151
hsa04931	hsa04668
hsa04931	hsa04910
hsa04933	hsa04010
hsa04933	hsa04020
hsa04933	hsa04110
hsa04933	hsa04151
hsa04933	hsa04350
hsa04933	hsa04614
hsa04933	hsa04630
hsa04934	hsa00020
hsa04934	hsa00140
hsa04934	hsa04020
hsa04934	hsa04024
hsa04934	hsa04110
hsa04934	hsa04310
hsa04934	hsa04927
hsa04934	hsa04960
