Pathway	Related Pathway
hsa04012	hsa04020
hsa04012	hsa04110
hsa04012	hsa04150
hsa04012	hsa04151
hsa04012	hsa05212
hsa04012	hsa05213
hsa04012	hsa05214
hsa04012	hsa05223
hsa04014	hsa04010
hsa04014	hsa04015
hsa04014	hsa04020
hsa04014	hsa04144
hsa04014	hsa04151
hsa04014	hsa04660
hsa04014	hsa04720
hsa04014	hsa04810
hsa04015	hsa04010
hsa04015	hsa04020
hsa04015	hsa04151
hsa04015	hsa04510
hsa04015	hsa04520
hsa04015	hsa04660
hsa04015	hsa04810
hsa04310	hsa04110
hsa04310	hsa04115
hsa04310	hsa04120
hsa04310	hsa04350
hsa04310	hsa04510
hsa04310	hsa04520
hsa04310	hsa05010
hsa04330	hsa04010
hsa04340	hsa04120
hsa04350	hsa04010
hsa04350	hsa04110
hsa04350	hsa04120
hsa04350	hsa04210
hsa04390	hsa04120
hsa04390	hsa04310
hsa04390	hsa04350
hsa04390	hsa04520
hsa04390	hsa04530
hsa04392	hsa04390
hsa04370	hsa00590
hsa04370	hsa04010
hsa04370	hsa04020
hsa04370	hsa04151
hsa04370	hsa04510
hsa04371	hsa04010
hsa04371	hsa04020
hsa04371	hsa04140
hsa04371	hsa04150
hsa04371	hsa04151
hsa04371	hsa04152
hsa04371	hsa04270
hsa04371	hsa04530
hsa04371	hsa04923
hsa04630	hsa04010
hsa04630	hsa04060
hsa04630	hsa04110
hsa04630	hsa04120
hsa04630	hsa04151
hsa04630	hsa04210
hsa04064	hsa03050
hsa04064	hsa04020
hsa04064	hsa04060
hsa04064	hsa04120
hsa04064	hsa04210
hsa04064	hsa04380
hsa04064	hsa04620
hsa04064	hsa04622
hsa04064	hsa04660
hsa04064	hsa04662
hsa04668	hsa04064
hsa04668	hsa04120
hsa04668	hsa04151
hsa04668	hsa04210
hsa04066	hsa00020
hsa04066	hsa04010
hsa04066	hsa04020
hsa04066	hsa04120
hsa04066	hsa04150
hsa04066	hsa04151
hsa04066	hsa04370
hsa04068	hsa00010
hsa04068	hsa00020
hsa04068	hsa00190
hsa04068	hsa04010
hsa04068	hsa04110
hsa04068	hsa04120
hsa04068	hsa04140
hsa04068	hsa04151
hsa04068	hsa04210
hsa04068	hsa04350
hsa04068	hsa04630
hsa04068	hsa04910
hsa04020	hsa04010
hsa04020	hsa04070
hsa04020	hsa04210
hsa04020	hsa04720
hsa04020	hsa04730
hsa04070	hsa04144
hsa04070	hsa04151
hsa04070	hsa04510
hsa04072	hsa00561
hsa04072	hsa04010
hsa04072	hsa04014
hsa04072	hsa04020
hsa04072	hsa04024
hsa04072	hsa04071
hsa04072	hsa04144
hsa04072	hsa04150
hsa04072	hsa04151
hsa04072	hsa04664
hsa04071	hsa00600
hsa04071	hsa04010
hsa04071	hsa04142
hsa04071	hsa04151
hsa04024	hsa00071
hsa04024	hsa04015
hsa04024	hsa04020
hsa04024	hsa04151
hsa04024	hsa04210
hsa04024	hsa04260
hsa04024	hsa04340
hsa04024	hsa04720
hsa04024	hsa04740
hsa04024	hsa04972
hsa04024	hsa04976
hsa04022	hsa04010
hsa04022	hsa04020
hsa04022	hsa04151
hsa04022	hsa04210
hsa04022	hsa04270
hsa04022	hsa04744
hsa04151	hsa00010
hsa04151	hsa04010
