Pathway_ID	Pathway_Name	Class	Gene	Drug	Related_Pathway
hsa00030	Pentose phosphate pathway - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	GPI; G6PD; PGLS; H6PD; PGD; RPE; RPEL1; TKT; TKTL2; TKTL1; TALDO1; RPIA; SHPK; DERA; RBKS; PGM1; PGM2; PRPS1L1; PRPS2; PRPS1; RGN; IDNK; GLYCTK; ALDOC; ALDOA; ALDOB; FBP1; FBP2; PFKM; PFKP; PFKL	NA	Glycolysis / Gluconeogenesis; Pentose and glucuronate interconversions; Galactose metabolism; Purine metabolism; Pyrimidine metabolism; Histidine metabolism; Glyoxylate and dicarboxylate metabolism; Vitamin B6 metabolism
hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	GUSB; KL; UGT2A1; UGT2A3; UGT2B17; UGT2B11; UGT2B28; UGT1A6; UGT1A4; UGT1A1; UGT1A3; UGT2B10; UGT1A9; UGT2B7; UGT1A10; UGT1A8; UGT1A5; UGT2B15; UGT1A7; UGT2B4; UGT2A2; UGDH; UGP2; AKR1A1; CRYL1; RPE; RPEL1; XYLB; AKR1B1; AKR1B10; AKR1B15; DCXR; SORD; DHDH; FGGY; CRPPA	D01805; Aceglatone (JAN/INN)	Glycolysis / Gluconeogenesis; Citrate cycle (TCA cycle); Pentose phosphate pathway; Galactose metabolism; Ascorbate and aldarate metabolism; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism; Glycerolipid metabolism; Inositol phosphate metabolism; Riboflavin metabolism
hsa00051	Fructose and mannose metabolism - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	MPI; PMM2; PMM1; GMPPB; GMPPA; GMDS; GFUS; FPGT; FCSK; ENOSF1; HK3; HK1; HK2; HKDC1; PFKM; PFKP; PFKL; FBP1; FBP2; PFKFB1; PFKFB2; PFKFB3; PFKFB4; TIGAR; KHK; SORD; AKR1B1; AKR1B10; AKR1B15; ALDOC; ALDOA; ALDOB; TPI1; TKFC	D01688; Epalrestat (JP18/INN); D01715; Risarestat (INN); D01842; Fidarestat (JAN/INN); D02323; Tolrestat (USAN/INN); D02328; Zopolrestat (USAN/INN); D02835; Alrestatin sodium (USAN); D03803; Lidorestat (USAN); D03805; Minalrestat (USAN/INN); D03806; Ponalrestat (USAN/INN); D03807; Zenarestat (USAN/INN); D05893; Sorbinil (USAN/INN); D06403; Ranirestat (JAN/INN); D12384; Govorestat (USAN/INN); D12390; Caficrestat (USAN/INN)	Glycolysis / Gluconeogenesis; Galactose metabolism; Ascorbate and aldarate metabolism; N-Glycan biosynthesis; Amino sugar and nucleotide sugar metabolism; Pyruvate metabolism
hsa00052	Galactose metabolism - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	GALM; GALK1; GALT; GALE; UGP2; PGM1; PGM2; HK3; HK1; HK2; HKDC1; GCK; G6PC1; G6PC2; G6PC3; GLB1; LCT; LALBA; B4GALT1; B4GALT2; GLA; AKR1B1; AKR1B10; AKR1B15; PFKM; PFKP; PFKL; MGAM; MGAM2; GAA; GANC; SI	D00216; Acarbose (JAN/USAN/INN); D00625; Miglitol (JP18/USAN/INN); D01665; Voglibose (JP18/USAN/INN); D01688; Epalrestat (JP18/INN); D01715; Risarestat (INN); D01842; Fidarestat (JAN/INN); D02323; Tolrestat (USAN/INN); D02328; Zopolrestat (USAN/INN); D02835; Alrestatin sodium (USAN); D03207; Alglucosidase alfa (USAN/INN); D03342; Camiglibose (USAN); D03803; Lidorestat (USAN); D03805; Minalrestat (USAN/INN); D03806; Ponalrestat (USAN/INN); D03807; Zenarestat (USAN/INN); D05893; Sorbinil (USAN/INN); D06403; Ranirestat (JAN/INN); D09605; Duvoglustat (USAN/INN); D09606; Duvoglustat hydrochloride (USAN); D09779; Emiglitate (JAN/INN); D11744; Avalglucosidase alfa (USAN/INN); D11798; Cipaglucosidase alfa (USAN); D11828; Clervonafusp alfa (USAN/INN); D12384; Govorestat (USAN/INN); D12390; Caficrestat (USAN/INN)	Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Pentose and glucuronate interconversions; Fructose and mannose metabolism; Amino sugar and nucleotide sugar metabolism
hsa00053	Ascorbate and aldarate metabolism - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	UGDH; UGT2A1; UGT2A3; UGT2B17; UGT2B11; UGT2B28; UGT1A6; UGT1A4; UGT1A1; UGT1A3; UGT2B10; UGT1A9; UGT2B7; UGT1A10; UGT1A8; UGT1A5; UGT2B15; UGT1A7; UGT2B4; UGT2A2; GUSB; KL; MIOX; AKR1A1; RGN; ALDH2; ALDH3A2; ALDH1B1; ALDH7A1; ALDH9A1	NA	Citrate cycle (TCA cycle); Pentose and glucuronate interconversions; Fructose and mannose metabolism; Amino sugar and nucleotide sugar metabolism; Glyoxylate and dicarboxylate metabolism
hsa00500	Starch and sucrose metabolism - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	MGAM; MGAM2; GAA; GANC; SI; UGP2; ENPP1; ENPP3; GBA3; GYS2; GYS1; GYG1; GYG2; GBE1; PYGL; PYGM; PYGB; AGL; AMY1C; AMY2A; AMY1A; AMY2B; AMY1B; TREH; PGM1; PGM2; HK3; HK1; HK2; HKDC1; GCK; G6PC1; G6PC2; G6PC3; PGM2L1; GPI	D00216; Acarbose (JAN/USAN/INN); D00625; Miglitol (JP18/USAN/INN); D01665; Voglibose (JP18/USAN/INN); D03207; Alglucosidase alfa (USAN/INN); D03342; Camiglibose (USAN); D04537; Ingliforib (USAN/INN); D09605; Duvoglustat (USAN/INN); D09606; Duvoglustat hydrochloride (USAN); D11744; Avalglucosidase alfa (USAN/INN); D11798; Cipaglucosidase alfa (USAN); D11828; Clervonafusp alfa (USAN/INN)	Glycolysis / Gluconeogenesis; Amino sugar and nucleotide sugar metabolism
hsa00520	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	CHIA; CHIT1; HEXA; HEXB; NAGK; AMDHD2; GNPDA1; GNPDA2; HK3; HK1; HK2; HKDC1; GFPT2; GFPT1; GNPNAT1; PGM3; GALK2; UAP1; UAP1L1; GNE; RENBP; NANS; NANP; NPL; CMAS; CYB5R1; CYB5R3; CYB5R2; CYB5RL; CYB5R4; UXS1; GCK; PGM1; PGM2; UGP2; UGDH; GALK1; GALT; GALE; GPI; MPI; PMM2; PMM1; GMPPB; GMPPA; GMDS; GFUS; FCSK; FPGT	NA	Glycolysis / Gluconeogenesis; Pentose and glucuronate interconversions; Fructose and mannose metabolism; Galactose metabolism; Ascorbate and aldarate metabolism; Starch and sucrose metabolism; N-Glycan biosynthesis; Neomycin, kanamycin and gentamicin biosynthesis
hsa00620	Pyruvate metabolism - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	ACSS1; ACSS2; PDHA2; PDHA1; PDHB; DLAT; DLD; ADH1A; ADH1B; ADH1C; ADH7; ADH4; ADH6; ADH5; AKR1A1; PKM; PKLR; ACACA; ACACB; ACYP2; ACYP1; ALDH2; ALDH3A2; ALDH1B1; ALDH7A1; ALDH9A1; ACOT12; LDHAL6A; LDHAL6B; LDHA; LDHB; LDHC; LDHD; GLO1; HAGH; GRHPR; ME2; ME3; ME1; PC; MDH1; MDH2; FH; PCK1; PCK2; ACAT2; ACAT1	D00123; Cyanamide (JP18); D00131; Disulfiram (JP18/USP/INN); D11408; Mitapivat sulfate (USAN); D12362; Etavopivat (USAN/INN)	Glycolysis / Gluconeogenesis; Citrate cycle (TCA cycle); Fatty acid biosynthesis; Alanine, aspartate and glutamate metabolism; Glycine, serine and threonine metabolism; Valine, leucine and isoleucine biosynthesis; Glyoxylate and dicarboxylate metabolism; Propanoate metabolism; Butanoate metabolism; Nicotinate and nicotinamide metabolism
hsa00630	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	ACSS1; ACSS2; MDH1; MDH2; CS; ACO2; ACO1; ACAT2; ACAT1; MCEE; PCCA; PCCB; MMUT; HAO2; HAO1; CAT; GRHPR; PGP; AGXT; GLUL; SHMT2; SHMT1; GLDC; AMT; DLD; GCSH; HYI; GLYCTK; HOGA1; AFMID	D11925; Lumasiran (USAN/INN); D11926; Lumasiran sodium	Glycolysis / Gluconeogenesis; Citrate cycle (TCA cycle); Pentose phosphate pathway; Ascorbate and aldarate metabolism; Fatty acid degradation; Purine metabolism; Alanine, aspartate and glutamate metabolism; Glycine, serine and threonine metabolism; Pyruvate metabolism; Vitamin B6 metabolism; Nitrogen metabolism
hsa00640	Propanoate metabolism - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	ACSS1; ACSS2; ACSS3; BCKDHA; BCKDHB; DBT; DLD; ACADS; ACOX3; ACOX1; HADHA; EHHADH; ECHS1; HIBCH; ACACA; ACACB; MLYCD; ABAT; PCCA; PCCB; ECHDC1; MCEE; MMUT; SUCLG1; SUCLG2; SUCLA2; ALDH6A1; LDHAL6A; LDHAL6B; LDHA; LDHB; LDHC	NA	Glycolysis / Gluconeogenesis; Citrate cycle (TCA cycle); Glycine, serine and threonine metabolism; Cysteine and methionine metabolism; Valine, leucine and isoleucine degradation; beta-Alanine metabolism; Pyruvate metabolism; Pantothenate and CoA biosynthesis
