Pathway_ID	Pathway_Name	Class	Gene	Drug	Related_Pathway
hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)	Metabolism; Metabolism of cofactors and vitamins	TAT; COQ2; COQ6; COQ3; COQ5; COQ7; NQO1; GGCX; VKORC1; VKORC1L1; HPD	D00564; Warfarin sodium (USP); D01280; Warfarin potassium (JP18); D03798; Dicumarol (USAN); D05177; Nitisinone (JAN/USAN/INN); D05457; Phenprocoumon (USAN/INN); D07064; Acenocoumarol (INN); D07131; Ethyl biscoumacetate (INN); D07134; Flocoumafen (JAN); D07135; Clorindione (INN); D07136; Diphenadione (INN); D07137; Tioclomarol (INN); D07457; Anisindione (INN); D07969; Fluindione (INN); D08354; Phenindione (INN); D08682; Warfarin (INN); D09676; Tecarfarin (USAN/INN); D09677; Tecarfarin sodium (USAN)	Oxidative phosphorylation; Phenylalanine, tyrosine and tryptophan biosynthesis; Terpenoid backbone biosynthesis; Complement and coagulation cascades
hsa00900	Terpenoid backbone biosynthesis - Homo sapiens (human)	Metabolism; Metabolism of terpenoids and polyketides	ACAT2; ACAT1; HMGCS1; HMGCS2; HMGCR; MVK; PMVK; MVD; IDI1; IDI2; FDPS; GGPS1; PDSS1; PDSS2; DHDDS; NUS1; FNTA; FNTB; CHURC1-FNTB; RCE1; ZMPSTE24; ICMT; PCYOX1	D00359; Lovastatin (USP/INN); D00434; Simvastatin (JP18/USP/INN); D00887; Atorvastatin calcium anhydorous; D00889; Cerivastatin sodium (JAN/USAN); D00892; Fluvastatin sodium (JAN/USP); D00893; Pravastatin sodium (JP18/USP); D00939; Alendronate sodium (USP); D00941; Pamidronate disodium (USP); D00942; Risedronate sodium (USP); D01862; Pitavastatin calcium (JAN); D01915; Rosuvastatin calcium (JP18/USP); D01968; Zoledronic acid (USAN); D02258; Atorvastatin calcium (USP); D03234; Sodium risedronate hydrate (JP18); D03601; Crilvastatin (USAN/INN); D03643; Dalvastatin (USAN/INN); D03720; Tipifarnib (USAN/INN); D03816; Tenivastatin calcium (USAN); D04486; Ibandronate sodium (USAN); D04768; Lonafarnib (JAN/USAN/INN); D06378; Zoledronate disodium (USAN); D06379; Zoledronate trisodium (USAN); D07119; Alendronic acid (INN); D07123; Incadronate disodium hydrate (JAN); D07281; Pamidronic acid (INN); D07474; Atorvastatin (INN); D07661; Cerivastatin (INN); D07983; Fluvastatin (INN); D08056; Ibandronic acid (INN); D08073; Incadronic acid (INN); D08410; Pravastatin (INN); D08484; Risedronic acid (INN); D08492; Rosuvastatin (INN); D08689; Zoledronic acid (INN); D09198; Minodronic acid hydrate (JAN); D10515; Zoledronic acid hemipentahydrate (JAN); D10568; Pitavastatin calcium hydrate (JP18); D11092; Pitavastatin magnesium; D11095; Atorvastatin calcium propylene glycol solvate; D11570; Risedronate sodium monohydrate	Glycolysis / Gluconeogenesis; Steroid biosynthesis; Ubiquinone and other terpenoid-quinone biosynthesis; Cysteine and methionine metabolism; N-Glycan biosynthesis
hsa00232	Caffeine metabolism - Homo sapiens (human)	Metabolism; Biosynthesis of other secondary metabolites	CYP1A2; NAT2; NAT1; CYP2A6; CYP2A7; XDH	D09786; Topiroxostat (JAN/INN)	Purine metabolism; Glyoxylate and dicarboxylate metabolism
hsa00524	Neomycin, kanamycin and gentamicin biosynthesis - Homo sapiens (human)	Metabolism; Biosynthesis of other secondary metabolites	HK3; HK1; HK2; HKDC1; GCK	NA	Amino sugar and nucleotide sugar metabolism
hsa00980	Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	Metabolism; Xenobiotics biodegradation and metabolism	CYP1A1; CYP2C9; CYP3A4; CYP1B1; GSTA5; GSTA2; GSTA4; GSTO2; GSTM4; GSTT2; GSTT1; GSTM3; MGST1; MGST3; GSTM1; GSTM5; MGST2; GSTA1; GSTM2; GSTA3; GSTO1; GSTT2B; GSTP1; GSTK1; HPGDS; EPHX1; CYP2B6; SULT2A1; CYP1A2; CYP2A6; CYP2A7; CYP2E1; CYP2F1; CYP2S1; AKR1C1; DHDH; CYP2A13; CYP2D6; cytochrome P450 2D6-like [KO:K17712] [EC:1.14.14.1]; CYP2D7; CYP2D6; HSD11B1; HSD11B1L; CBR1; CBR3; UGT2A1; UGT2A3; UGT2B17; UGT2B11; UGT2B28; UGT1A6; UGT1A4; UGT1A1; UGT1A3; UGT2B10; UGT1A9; UGT2B7; UGT1A10; UGT1A8; UGT1A5; UGT2B15; UGT1A7; UGT2B4; UGT2A2; CYP3A5; AKR7A2; AKR7A3; AKR7L; ALDH3B1; ALDH3B2; ALDH3A1; ADH1A; ADH1B; ADH1C; ADH7; ADH4; ADH5; ADH6	D00707; Fomepizole (JAN/USAN/INN)	NA
hsa00982	Drug metabolism - cytochrome P450 - Homo sapiens (human)	Metabolism; Xenobiotics biodegradation and metabolism	CYP2D6; cytochrome P450 2D6-like [KO:K17712] [EC:1.14.14.1]; CYP2D7; CYP2D6; CYP2C9; CYP3A4; FMO1; FMO2; FMO5; FMO3; FMO4; CYP2C19; CYP2B6; CYP3A5; GSTA5; GSTA2; GSTA4; GSTO2; GSTM4; GSTT2; GSTT1; GSTM3; MGST1; MGST3; GSTM1; GSTM5; MGST2; GSTA1; GSTM2; GSTA3; GSTO1; GSTT2B; GSTP1; GSTK1; HPGDS; ADH1A; ADH1B; ADH1C; ADH7; ADH4; ADH5; ADH6; ALDH3B1; ALDH3B2; ALDH3A1; MAOB; MAOA; AOX1; UGT2A1; UGT2A3; UGT2B17; UGT2B11; UGT2B28; UGT1A6; UGT1A4; UGT1A1; UGT1A3; UGT2B10; UGT1A9; UGT2B7; UGT1A10; UGT1A8; UGT1A5; UGT2B15; UGT1A7; UGT2B4; UGT2A2; CYP1A2; CYP2E1; CYP2C8; CYP2A6; CYP2A7	D00505; Phenelzine sulfate (USP); D00826; Tranylcypromine sulfate (USP); D01888; Safrazine hydrochloride (JAN); D02559; Toloxatone (INN); D02560; Brofaromine (INN); D02561; Moclobemide (USAN/INN); D02563; Befloxatone (INN); D02579; Iproniazid (INN); D02580; Isocarboxazid (INN); D03248; Clorgiline (INN); D03409; Caroxazone (USAN/INN); D04092; Etryptamine acetate (USAN); D07337; Nialamide (INN); D07338; Iproclozide (INN); D08085; Iproniazid phosphate; D08349; Phenelzine (BAN); D08392; Pirlindole (INN); D08393; Pirlindole hydrochloride; D08625; Tranylcypromine (INN)	NA
hsa00983	Drug metabolism - other enzymes - Homo sapiens (human)	Metabolism; Xenobiotics biodegradation and metabolism	HPRT1; IMPDH1; IMPDH2; GMPS; TPMT; XDH; ITPA; CES1; CES2; UGT2A1; UGT2A3; UGT2B17; UGT2B11; UGT2B28; UGT1A6; UGT1A4; UGT1A1; UGT1A3; UGT2B10; UGT1A9; UGT2B7; UGT1A10; UGT1A8; UGT1A5; UGT2B15; UGT1A7; UGT2B4; UGT2A2; GUSB; CYP3A4; CDA; TYMP; DPYD; DPYS; UPB1; CYP2A6; CYP2A7; UPP2; UPP1; UCK1; UCK2; UCKL1; TK2; TK1; UMPS; CMPK1; RRM1; RRM2B; RRM2; NME6; NME7; NME2; NME4; NME1; NME3; NME1-NME2; DUT; MPO; NAT2; NAT1; CYP2E1; GSTA5; GSTA2; GSTA4; GSTO2; GSTM4; GSTT2; GSTT1; GSTM3; MGST1; MGST3; GSTM1; GSTM5; MGST2; GSTA1; GSTM2; GSTA3; GSTO1; GSTT2B; GSTP1	D03998; Eniluracil (USAN/INN); D12387; Fosgemcitabine palabenamide (USAN/INN); D12465; Doxecitine (USAN/INN); D12466; Doxribtimine (USAN/INN)	NA
hsa03020	RNA polymerase - Homo sapiens (human)	Genetic Information Processing; Transcription	POLR2B; POLR2A; POLR2C; POLR2J; POLR2J3; POLR2J2; POLR2D; POLR2G; POLR2I; POLR2M; POLR3B; POLR3A; POLR1D; POLR1C; POLR3C; POLR3D; POLR3E; POLR3F; POLR3GL; POLR3G; POLR3H; CRCP; POLR3K; POLR1B; POLR1A; POLR1H; POLR1G; POLR1F; POLR1E; POLR2E; POLR2F; POLR2H; POLR2K; POLR2L	NA	NA
hsa03022	Basal transcription factors - Homo sapiens (human)	Genetic Information Processing; Transcription	GTF2A1L; GTF2A1; GTF2A2; GTF2B; TBPL2; TBPL1; TBP; TAF1; TAF1L; TAF2; TAF7; TAF7L; TAF8; TAF3; TAF10; TAF5L; TAF5; TAF4B; TAF4; TAF12; TAF6; TAF6L; TAF9; TAF9B; TAF11; TAF13; TAF15; GTF2E1; GTF2E2; GTF2F1; GTF2F2; GTF2H1; GTF2H2; GTF2H2C_2; GTF2H2C; GTF2H3; GTF2H4; ERCC3; ERCC2; GTF2H5; CDK7; MNAT1; CCNH; GTF2I	NA	RNA polymerase; Nucleotide excision repair
hsa03040	Spliceosome - Homo sapiens (human)	Genetic Information Processing; Transcription	RNVU1-18; RNU1-2; RNU1-4; RNU1-3; RNU1-1; RNVU1-7; RNVU1-1; RNVU1-20; RNVU1-4; U1 spliceosomal RNA [KO:K14276]; RNVU1-8; RNVU1-14; RNVU1-15; RNVU1-17; RNVU1-3; RNVU1-6; RNVU1-19; U1 spliceosomal RNA [KO:K14276]; U1 spliceosomal RNA [KO:K14276]; RNVU1-28; RNVU1-31; RNVU1-27; RNVU1-26; RNVU1-30; U1 spliceosomal RNA [KO:K14276]; U1 spliceosomal RNA [KO:K14276]; U1 spliceosomal RNA [KO:K14276]; U1 spliceosomal RNA [KO:K14276]; U1 spliceosomal RNA [KO:K14276]; U1 spliceosomal RNA [KO:K14276]; U1 spliceosomal RNA [KO:K14276]; RNVU1-2A; RNU2-1; U2 spliceosomal RNA [KO:K14277]; U2 spliceosomal RNA [KO:K14277]; U2 spliceosomal RNA [KO:K14277]; U2 spliceosomal RNA [KO:K14277]; U2 spliceosomal RNA [KO:K14277]; U2 spliceosomal RNA [KO:K14277]; U2 spliceosomal RNA [KO:K14277]; U2 spliceosomal RNA [KO:K14277]; U2 spliceosomal RNA [KO:K14277]; U2 spliceosomal RNA [KO:K14277]; U2 spliceosomal RNA [KO:K14277]; U2 spliceosomal RNA [KO:K14277]; U2 spliceosomal RNA [KO:K14277]; U2 spliceosomal RNA [KO:K14277]; U2 spliceosomal RNA [KO:K14277]; U2 spliceosomal RNA [KO:K14277]; U2 spliceosomal RNA [KO:K14277]; U2 spliceosomal RNA [KO:K14277]; U2 spliceosomal RNA [KO:K14277]; U2 spliceosomal RNA [KO:K14277]; RNU4-2; RNU4-1; U4 spliceosomal RNA [KO:K14278]; U4 spliceosomal RNA [KO:K14278]; U4 spliceosomal RNA [KO:K14278]; RNU5D-1; RNU5A-1; RNU5B-1; RNU5F-1; RNU5E-1; RNU6-8; RNU6-7; RNU6-1; U6 spliceosomal RNA [KO:K14280]; RNU6-9; U6 spliceosomal RNA [KO:K14280]; U6 spliceosomal RNA [KO:K14280]; RNU6-2; U6 spliceosomal RNA [KO:K14280]; U6 spliceosomal RNA [KO:K14280]; U6 spliceosomal RNA [KO:K14280]; U6 spliceosomal RNA [KO:K14280]; U6 spliceosomal RNA [KO:K14280]; U6 spliceosomal RNA [KO:K14280]; U6 spliceosomal RNA [KO:K14280]; U6 spliceosomal RNA [KO:K14280]; U6 spliceosomal RNA [KO:K14280]; U6 spliceosomal RNA [KO:K14280]; U6 spliceosomal RNA [KO:K14280]; U6 spliceosomal RNA [KO:K14280]; U6 spliceosomal RNA [KO:K14280]; U6 spliceosomal RNA [KO:K14280]; U6 spliceosomal RNA [KO:K14280]; DDX46; DDX39B; DHX16; DHX38; CDC40; PRPF18; DHX8; SLU7; DHX15; SNRPB; SNRPD1; SNRPD2; SNRPD3; SNRPE; SNRPF; SNRPG; SNRNP70; SNRPA; SNRPC; PRPF40B; PRPF40A; RBM25; DDX5; TCERG1; FUS; SNRPA1; SNRPB2; SF3A1; SF3A2; SF3A3; SF3B1; SF3B2; SF3B3; SF3B4; SF3B5; SF3B6; PHF5A; DDX42; U2AF1; U2AF1L5; U2AF1L4; U2AF2; PUF60; SMNDC1; RBM17; CHERP; U2SURP; RP9; LSM2; LSM3; LSM4; LSM5; LSM6; LSM7; LSM8; PRPF3; PRPF4; PPIH; PRPF31; SNU13; SNRNP27; USP39; SART1; ZMAT2; PRPF38A; PRPF38B; EFTUD2; SNRNP200; PRPF6; PRPF8; SNRNP40; DDX23; TXNL4A; PRPF19; CDC5L; BCAS2; PLRG1; CWC15; CTNNBL1; HSPA8; HSPA1A; HSPA1L; HSPA1B; HSPA6; PQBP1; WBP11; SNW1; XAB2; SYF2; CRNKL1; ISY1; ISY1-RAB43; PPIL1; PPIE; CCDC12; RBM22; BUD31; AQR; ACIN1; EIF4A3; RBM8A; MAGOH; MAGOHB; THOC1; THOC2; THOC3; ALYREF; NCBP1; NCBP2; NCBP2L; HNRNPA3; HNRNPA1; HNRNPA1L2; HNRNPC; RBMX; HNRNPK; HNRNPM; HNRNPU; PCBP1; SRSF1; SRSF2; SRSF8; SRSF3; SRSF4; SRSF5; SRSF6; SRSF7; SRSF9; TRA2A; TRA2B; SRSF10	D11837; Zotatifin (USAN/INN); D12345; Obefazimod (USAN)	NA
hsa03010	Ribosome - Homo sapiens (human)	Genetic Information Processing; Translation	MRPS2; MRPS5; MRPS6; MRPS7; MRPS9; MRPS10; MRPS11; MRPS12; MRPS14; MRPS15; MRPS16; MRPS17; MRPS18C; MRPS18A; MRPS21; RPS2; RPS3; RPS3A; RPS4Y1; RPS4X; RPS4Y2; RPS5; RPS6; RPS7; RPS8; RPS9; RPS10; RPS10-NUDT3; RPS11; RPS12; RPS13; RPS14; RPS15; RPS15A; RPS16; RPS17; RPS18; RPS19; RPS20; RPS21; RPS23; RPS24; RPS25; RPS26; RPS27; RPS27L; RPS27A; RPS28; RPS29; FAU; RPSA; RPSA2; MRPL1; MRPL2; MRPL3; MRPL4; MRPL12; MRPL9; MRPL10; MRPL11; MRPL13; MRPL14; MRPL15; MRPL16; MRPL17; MRPL18; MRPL19; MRPL20; MRPL21; MRPL22; MRPL23; MRPL24; MRPL27; MRPL28; MRPL30; MRPL32; MRPL33; MRPL34; MRPL35; MRPL36; RPL3L; RPL3; RPL4; RPL5; RPL6; RPL7; RPL7A; RPL8; RPL9; RPL10L; RPL10; RPL10A; RPL11; RPL12; RPL13; RPL13A; RPL14; RPL15; RPL17; RPL17-C18orf32; RPL18; RPL18A; RPL19; RPL21; RPL22L1; RPL22; RPL23; RPL23A; RSL24D1; RPL24; RPL26; RPL26L1; RPL27; RPL27A; RPL28; RPL29; RPL30; RPL31; RPL32; RPL34; RPL35; RPL35A; RPL36; RPL37; RPL37A; RPL38; RPL39; UBA52; RPL41; RPL36AL; RPL36A; RPL36A-HNRNPH2; RPLP0; RPLP1; RPLP2; RNA18SN1; RNA18SN4; RNA18SN5; RNA18SN2; RNA18SN3; RNA45SN4; RNA28SN5; RNA28SN2; 28S ribosomal RNA [KO:K01982]; RNA28SN4; RNA28SN3; RNA28SN1; RNA45SN3; RNA5S1; RNA5S16; RNA5S6; RNA5S11; RNA5S5; RNA5S13; RNA5S4; RNA5S3; RNA5S2; RNA5S10; RNA5S12; RNA5S8; RNA5S7; RNA5S14; RNA5S15; RNA5S17; RNA5S9; RNA5-8SN5; RNA5-8SN1; RNA5-8SN2; RNA5-8SN3; RNA5-8SN4	NA	NA
hsa00970	Aminoacyl-tRNA biosynthesis - Homo sapiens (human)	Genetic Information Processing; Translation	TRNA; TRNR; TRNN; TRND; TRNC; TRNQ; TRNE; TRNG; TRNH; TRNI; TRNL2; TRNL1; TRNK; TRNM; TRNF; TRNP; TRNS2; TRNS1; TRNT; TRNW; TRNY; TRNV; EARS2; EPRS1; QRSL1; GATB; GATC; QARS1; AARS2; AARS1; DARS1; DARS2; NARS2; NARS1; GARS1; TARS2; TARS1; TARS3; SARS2; SARS1; PSTK; SEPSECS; CARS1; CARS2; MARS1; MARS2; MTFMT; VARS2; VARS1; LARS1; LARS2; IARS1; IARS2; KARS1; RARS2; RARS1; PARS2; HARS1; HARS2; FARSA; FARS2; FARSB; YARS1; YARS2; WARS2; WARS1	D12612; Efzofitimod (INN); D12794; Bersiporocin (USAN/INN); D12795; Bersiporocin hydrochloride (USAN)	Alanine, aspartate and glutamate metabolism; Glycine, serine and threonine metabolism; Cysteine and methionine metabolism; Valine, leucine and isoleucine biosynthesis; Arginine and proline metabolism; Histidine metabolism; Tryptophan metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis
hsa03013	Nucleocytoplasmic transport - Homo sapiens (human)	Genetic Information Processing; Translation	AAAS; NUP42; GLE1; DDX19B; DDX19A; RAE1; NUP98; NUP214; NUP88; RANBP2; RANGAP1; UBE2I; SUMO3; SUMO2; SUMO1; SUMO4; NUP160; NUP85; SEC13; NUP107; NUP133; SEH1L; NUP43; NUP37; AHCTF1; NUP62; NUP58; NUP54; NUP205; NUP188; NUP155; NUP93; NUP35; NDC1; NUP210; NUP210L; POM121C; POM121; POM121L2; TMEM33; TPR; NUP50; NUP153; SENP2; KPNA1; KPNA2; KPNA7; KPNA3; KPNA4; KPNA6; KPNA5; KPNB1; TNPO1; TNPO2; TNPO3; IPO4; IPO5; IPO7; IPO8; IPO9; IPO11; IPO13; SNUPN; XPO1; CSE1L; XPOT; XPO4; XPO5; XPO6; XPO7; RANBP17; RAN; EEF1A1; EEF1A2; PHAX; NCBP1; NCBP2; NCBP2L; NMD3; RBM8A; MAGOH; MAGOHB; CASC3; EIF4A3; ACIN1; SAP18; RNPS1; PNN; ALYREF; UPF1; UPF2; UPF3B; UPF3A; NXF1; NXF2; NXF2B; NXF3; NXT1; NXT2; DDX39B; SRRM1; PYM1; THOC1; THOC2; THOC5; THOC6; THOC7; THOC3	D11222; Selinexor (USAN/INN); D11223; Verdinexor (USAN/INN); D11406; Risdiplam (JAN/USAN/INN); D11499; Eltanexor (USAN/INN); D11837; Zotatifin (USAN/INN); D12345; Obefazimod (USAN)	mRNA surveillance pathway
hsa03015	mRNA surveillance pathway - Homo sapiens (human)	Genetic Information Processing; Translation	NCBP1; NCBP2; NCBP2L; UPF3B; UPF3A; RBM8A; MAGOH; MAGOHB; CASC3; EIF4A3; SAP18; PNN; ACIN1; RNPS1; ALYREF; DDX19B; DDX19A; GLE1; NXF1; NXF2; NXF2B; NXF3; NXT1; NXT2; DDX39B; PYM1; SRRM1; RNGTT; RNMT; FUS; TARDBP; PABPN1; PABPN1L; BCL2L2-PABPN1; NUDT21; CPSF6; CPSF7; PAPOLG; PAPOLB; PAPOLA; CLP1; PCF11; CPSF1; CPSF2; CPSF3; CPSF4; CPSF4L; FIP1L1; WDR33; WDR82; PPP1CA; PPP1CB; PPP1CC; SSU72; CSTF1; CSTF2; CSTF2T; CSTF3; SYMPK; DAZAP1; MSI1; MSI2; PABPC1; PABPC5; PABPC3; PABPC1L2B; PABPC1L; PABPC1L2A; PABPC4; PABPC4L; ETF1; GSPT2; GSPT1; UPF1; UPF2; SMG1; SMG7; SMG5; SMG6; PPP2CA; PPP2CB; PPP2R1B; PPP2R1A; PPP2R2A; PPP2R2B; PPP2R2C; PPP2R2D; PPP2R3B; PPP2R3C; PPP2R3A; PPP2R5B; PPP2R5C; PPP2R5D; PPP2R5E; PPP2R5A; HBS1L; PELO	D11837; Zotatifin (USAN/INN); D12345; Obefazimod (USAN)	Nucleocytoplasmic transport; RNA degradation; Spliceosome
hsa03008	Ribosome biogenesis in eukaryotes - Homo sapiens (human)	Genetic Information Processing; Translation	CSNK2B; CSNK2A1; CSNK2A2; CSNK2A3; NOL6; RRP7A; WDR43; UTP4; UTP15; HEATR1; WDR75; UTP18; WDR36; TBL3; WDR3; UTP6; PWP2; MPHOSPH10; IMP3; IMP4; TCOF1; FBL; FBLL1; NOP56; NOP58; SNU13; DKC1; NHP2; GAR1; NOP10; FCF1; UTP14C; UTP14A; DROSHA; EMG1; BMS1; NAT10; RCL1; POP1; RPP38; POP4; POP5; RPP25L; RPP25; POP7; RPP30; RPP40; REXO1; putative exonuclease GOR [KO:K14570] [EC:3.1.-.-]; REXO5; putative exonuclease GOR [KO:K14570] [EC:3.1.-.-]; REXO2; XRN1; XRN2; GTPBP4; GNL2; GNL3; GNL3L; NVL; MDN1; RBM28; NOB1; RAN; XPO1; NMD3; NXF1; NXF2; NXF2B; NXF3; NXT1; NXT2; EIF6; SBDS; EFL1; LSG1; AFG2A; AK6; RIOK1; RIOK2; RNA18SN1; RNA18SN4; RNA18SN5; RNA18SN2; RNA18SN3; RNA45SN4; RNA5-8SN5; RNA5-8SN1; RNA5-8SN2; RNA5-8SN3; RNA5-8SN4; RNA28SN5; RNA28SN2; 28S ribosomal RNA [KO:K01982]; RNA28SN4; RNA28SN3; RNA28SN1; RNA45SN3; RNA5S1; RNA5S16; RNA5S6; RNA5S11; RNA5S5; RNA5S13; RNA5S4; RNA5S3; RNA5S2; RNA5S10; RNA5S12; RNA5S8; RNA5S7; RNA5S14; RNA5S15; RNA5S17; RNA5S9; SNORD3A; SNORD3C; SNORD3B-2; SNORD3B-1; SNORD3E; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; SNORD3D; SNORD3G; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; SNORD3H; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; SNORD3J; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; small nucleolar RNA U3 [KO:K14483]; SNORD3K; RMRP	NA	Ribosome
hsa03060	Protein export - Homo sapiens (human)	Genetic Information Processing; Folding, sorting and degradation	OXA1L; SRP54; SEC61A1; SEC61A2; SEC61B; SEC61G; SEC62; SEC63; HSPA5; SRP9; SRP14; SRP72; SRP68; SRP19; SRPRA; SRPRB; GET3; GET4; UBL4A; UBL4B; BAG6; SGTA; GET1; TMEM208; SPCS1; SPCS2; SPCS3; SEC11C; SEC11A; IMMP1L; IMMP2L	NA	NA
hsa04141	Protein processing in endoplasmic reticulum - Homo sapiens (human)	Genetic Information Processing; Folding, sorting and degradation	SEC61A1; SEC61A2; SEC61B; SEC61G; SEC62; SEC63; RPN1; RPN2; DAD1; DDOST; STT3A; STT3B; MAGT1; TUSC3; OSTC; TMEM258; MOGS; CKAP4; RRBP1; SIL1; HYOU1; HSPA5; DNAJB11; DNAJC1; DNAJC3; DNAJC10; HSP90B1; GANAB; PRKCSH; CANX; PDIA3; CALR; MAN1A2; MAN1C1; MAN1A1; MAN1B1; LMAN2; LMAN1; LMAN1L; PREB; SAR1A; SAR1B; SEC13; SEC31A; SEC31B; SEC23B; SEC23A; SEC24B; SEC24A; SEC24C; SEC24D; UGGT2; UGGT1; EDEM1; EDEM2; MMP24-AS1-EDEM2; EDEM3; P4HB; PDIA4; PDIA6; ERP29; TXNDC5; ERO1A; ERO1B; OS9; ERLEC1; SSR1; SSR2; SSR3; SSR4; BCAP31; TRAM1; TRAM1L1; DERL1; DERL2; DERL3; UBXN4; UBXN1; UBXN2A; UBXN6; UBXN8; NSFL1C; SVIP; VCP; NPLOC4; UFD1; HSPA8; HSPA1A; HSPA1L; HSPA1B; HSPA6; DNAJA1; DNAJA2; DNAJB1; DNAJB2; DNAJB12; DNAJC5; DNAJC5B; DNAJC5G; HSP90AA1; HSP90AB1; HSPH1; HSPA4L; BAG1; BAG2; HSPBP1; CRYAA; CRYAA; CRYAB; YOD1; PLAA; RAD23B; RAD23A; UBQLN1; UBQLN2; UBQLN3; UBQLN4; NGLY1; ATXN3; ATXN3L; UBE4B; EIF2AK3; EIF2S1; NFE2L2; ATF4; PPP1R15A; DDIT3; BCL2; ATF6; ATF6B; WFS1; MBTPS1; MBTPS2; XBP1; ERN1; TRAF2; MAP3K5; MAP2K7; MAPK8; MAPK10; MAPK9; BAX; BAK1; CAPN1; CAPN2; CASP12; MARCHF6; UBE2J1; UBE2J2; UBE2G1; UBE2G2; SYVN1; RNF5; RNF185; SELENOS; SEL1L; SEL1L2; HERPUD1; AMFR; STUB1; UBE2D4; UBE2D1; UBE2D2; UBE2D3; PRKN; RBX1; CUL1; SKP1; FBXO2; FBXO6	D10964; Omaveloxolone (USAN/INN)	N-Glycan biosynthesis; Proteasome; Protein export; Apoptosis; Type II diabetes mellitus; Alzheimer disease; Parkinson disease; Prion disease
hsa04130	SNARE interactions in vesicular transport - Homo sapiens (human)	Genetic Information Processing; Folding, sorting and degradation	STX1A; STX2; STX3; STX1B; STX4; STX19; STX11; STX7; STX16; STX5; STX17; STX18; VTI1B; VTI1A; GOSR1; GOSR2; BNIP1; STX6; STX8; BET1L; BET1; USE1; SNAP23; SNAP29; VAMP1; VAMP2; VAMP3; VAMP8; VAMP4; VAMP5; VAMP7; YKT6; SEC22B	NA	NA
